#  Posterior distribution for f, given N = 10.0 radio-detected PBHs. PBH Mass: 100M_sun
# M_sunPrior: jeffreys
#  Columns: f, P(f|N)
# 
1.094054707205743495e-05 2.554356846581695208e+02
1.109289864895222712e-05 2.679667147428858129e+02
1.124737178364750747e-05 2.811753566386599346e+02
1.140399601970033156e-05 2.951001869865668823e+02
1.156280131207375302e-05 3.097820078683209317e+02
1.172381803286599682e-05 3.252639707280908397e+02
1.188707697711903343e-05 3.415917063228017696e+02
1.205260936870841401e-05 3.588134609172486762e+02
1.222044686631488650e-05 3.769802388791915746e+02
1.239062156947915659e-05 3.961459518641976842e+02
1.256316602474121465e-05 4.163675746874262131e+02
1.273811323186478452e-05 4.377053080276022570e+02
1.291549665014882683e-05 4.602227480747698678e+02
1.309535020482667643e-05 4.839870631509683676e+02
1.327770829355429101e-05 5.090691774046632077e+02
1.346260579298911035e-05 5.355439615269696105e+02
1.365007806546013744e-05 5.634904304674236073e+02
1.384016096573130180e-05 5.929919480449455023e+02
1.403289084785873161e-05 6.241364382701660816e+02
1.422830457214351858e-05 6.570166032517421399e+02
1.442643951218158844e-05 6.917301472960350566e+02
1.462733356201129868e-05 7.283800068321276058e+02
1.483102514336102853e-05 7.670745857409932569e+02
1.503755321299738461e-05 8.079279954187795738e+02
1.524695727017572978e-05 8.510602989604658433e+02
1.545927736419478539e-05 8.965977585984888947e+02
1.567455410205594862e-05 9.446730853474417700e+02
1.589282865622976477e-05 9.954256897797797592e+02
1.611414277253019959e-05 1.049001932631941372e+03
1.633853877809860416e-05 1.105555373660974283e+03
1.656605958949915094e-05 1.165247016982640844e+03
1.679674872092653225e-05 1.228245551078169456e+03
1.703065029252842484e-05 1.294727581118978605e+03
1.726780903884356100e-05 1.364877851081236486e+03
1.750827031735723228e-05 1.438889453049078384e+03
1.775208011717636033e-05 1.516964020386171342e+03
1.799928506782476521e-05 1.599311901367356995e+03
1.824993244816150412e-05 1.686152309596441455e+03
1.850407019542302264e-05 1.777713446914750421e+03
1.876174691439119540e-05 1.874232594042844312e+03
1.902301188668945850e-05 1.975956164105739390e+03
1.928791508020777896e-05 2.083139713447742452e+03
1.955650715865946999e-05 2.196047903787846735e+03
1.982883949127071257e-05 2.314954409240719542e+03
2.010496416260496873e-05 2.437949216196398083e+03
2.038493398252464128e-05 2.564764300359097433e+03
2.066880249629082024e-05 2.697630311802644428e+03
2.095662399480430758e-05 2.837109926831580651e+03
2.124845352498882828e-05 2.983481773899966811e+03
2.154434690031882321e-05 3.137030267895480392e+03
2.184436071149428344e-05 3.298045024602993635e+03
2.214855233726359179e-05 3.466820175108612602e+03
2.245697995539771554e-05 3.643653571995092534e+03
2.276970255381680078e-05 3.828845878723497663e+03
2.308677994187167203e-05 4.022699533155614063e+03
2.340827276178294449e-05 4.225517576422724233e+03
2.373424250023866352e-05 4.437602337821602305e+03
2.406475150015421866e-05 4.659253966733672314e+03
2.439986297259550131e-05 4.890768802718326697e+03
2.473964100886811809e-05 5.132437574699310062e+03
2.508415059277541105e-05 5.384543421089169897e+03
2.543345761304648090e-05 5.647359722816469912e+03
2.578762887593798400e-05 5.921147742062081306e+03
2.614673211801091967e-05 6.206154060299771118e+03
2.651083601908536211e-05 6.502607810461846384e+03
2.688001021537607461e-05 6.810717699168758372e+03
2.725432531281027978e-05 7.130668816517913001e+03
2.763385290053166867e-05 7.462619233355911092e+03
2.801866556459195316e-05 7.806696386922450074e+03
2.840883690183301088e-05 8.162993259329310604e+03
2.880444153396297702e-05 8.531564355827256804e+03
2.920555512182745176e-05 8.912421492234092511e+03
2.961225437988031288e-05 9.305529405565426714e+03
3.002461709085549186e-05 9.710801204752158810e+03
3.044272212064305779e-05 1.012809368283166077e+04
3.086664943337274645e-05 1.055720251703542453e+04
3.129648010670750265e-05 1.099785738715344633e+04
3.173229634734972955e-05 1.144971704888137174e+04
3.217418150676371437e-05 1.191236440342143942e+04
3.262222009711673420e-05 1.238530161104216859e+04
3.307649780744242331e-05 1.286794530202915848e+04
3.353710152002928861e-05 1.335962194428836847e+04
3.400411932703702948e-05 1.385956343403395113e+04
3.447764054734463976e-05 1.436690298100149994e+04
3.495775574363278547e-05 1.488067136611321439e+04
3.544455673970435463e-05 1.539979365554829747e+04
3.593813663804625562e-05 1.592308645977310516e+04
3.643858983763540501e-05 1.644925583170995014e+04
3.694601205199302477e-05 1.697689590133529418e+04
3.746050032748996612e-05 1.750448834745202839e+04
3.798215306190736308e-05 1.803040280963453552e+04
3.851107002325568519e-05 1.855289834285331017e+04
3.904735236885555739e-05 1.907012601724091655e+04
3.959110266468458876e-05 1.958013276220362604e+04
4.014242490499325976e-05 2.008086654914546671e+04
4.070142453219438740e-05 2.057018300032234765e+04
4.126820845702951608e-05 2.104585350093685702e+04
4.184288507901584570e-05 2.150557488079107861e+04
4.242556430717776958e-05 2.194698071581676049e+04
4.301635758106799609e-05 2.236765428231775513e+04
4.361537789208005635e-05 2.276514317666375064e+04
4.422273980505896747e-05 2.313697558874286915e+04
4.483855948021190816e-05 2.348067819157862687e+04
4.546295469532399562e-05 2.379379558057823670e+04
4.609604486828438810e-05 2.407391116416612567e+04
4.673795107992463778e-05 2.431866937326372863e+04
4.738879609717651056e-05 2.452579902321743430e+04
4.804870439655133953e-05 2.469313762414914891e+04
4.871780218794630613e-05 2.481865639901768736e+04
4.939621743878325959e-05 2.490048573254267467e+04
5.008407989848212116e-05 2.493644356507834527e+04
5.078152112327670659e-05 2.492513335654672846e+04
5.148867450137497919e-05 2.486630743830387655e+04
5.220567527846975100e-05 2.475941107410101176e+04
5.293266058360566627e-05 2.460376682022691239e+04
5.366976945540475778e-05 2.439898627751210734e+04
5.441714286865887681e-05 2.414498731885821690e+04
5.517492376129128718e-05 2.384200873554915233e+04
5.594325706169377268e-05 2.349062190293985987e+04
5.672228971644549213e-05 2.309173908544452934e+04
5.751217071841613668e-05 2.264661803062692343e+04
5.831305113526218489e-05 2.215686254357088910e+04
5.912508413831881030e-05 2.162441878247161731e+04
5.994842503189408905e-05 2.105156707825949707e+04
6.078323128297236501e-05 2.044090915054295328e+04
6.162966255132942199e-05 1.979535067175428048e+04
6.248788072006888211e-05 1.911807921900564907e+04
6.335804992658254750e-05 1.841253774329193038e+04
6.424033659394190888e-05 1.768239378371966086e+04
6.513490946272809873e-05 1.693150475214648395e+04
6.604193962330304700e-05 1.616387971043553625e+04
6.696160054853215278e-05 1.538363815509202323e+04
6.789406812696112826e-05 1.459496641156767873e+04
6.883952069645495682e-05 1.380207231893137941e+04
6.979813907830667650e-05 1.300913894807876568e+04
7.077010661181888922e-05 1.222027814868382120e+04
7.175560918936921718e-05 1.143948475289550152e+04
7.275483529196232206e-05 1.067059227460623515e+04
7.376797602527730984e-05 9.917230937935230031e+03
7.479522515621828658e-05 9.182788838129165015e+03
7.583677914997190089e-05 8.470376984653186810e+03
7.689283720758305352e-05 7.782798904941803812e+03
7.796360130405236585e-05 7.122525393176208127e+03
