#  Posterior distribution for f, given N = 10.0 radio-detected PBHs. PBH Mass: 100M_sun
# M_sunPrior: log-flat
#  Columns: f, P(f|N)
# 
6.742622241778348883e-06 1.506507781857111183e+02
6.836516004510238809e-06 1.555695310571117886e+02
6.931717276155400522e-06 1.606911273726148011e+02
7.028244264308352554e-06 1.660250123848541079e+02
7.126115430111745365e-06 1.715811072406249309e+02
7.225349491787221566e-06 1.773698340697981166e+02
7.325965428215230423e-06 1.834021424069021009e+02
7.427982482564910469e-06 1.896895370228199056e+02
7.531420165974375663e-06 1.962441072281745846e+02
7.636298261282241959e-06 2.030785577307773337e+02
7.742636826811276894e-06 2.102062411214119209e+02
7.850456200204509316e-06 2.176411920690190982e+02
7.959777002314978321e-06 2.253981633088746435e+02
8.070620141149507638e-06 2.334926635121591403e+02
8.183006815867388940e-06 2.419409971310259380e+02
8.296958520834915102e-06 2.507603063046348950e+02
8.412497049736117495e-06 2.599686149315308512e+02
8.529644499741016815e-06 2.695848750060055750e+02
8.648423275731726255e-06 2.796290153228484314e+02
8.768856094587426870e-06 2.901219926533503326e+02
8.890965989529167165e-06 3.010858455070318200e+02
9.014776314524917239e-06 3.125437505942022653e+02
9.140310748756222539e-06 3.245200820929550218e+02
9.267593301146882451e-06 3.370404738483007350e+02
9.396648314954690500e-06 3.501318846204549118e+02
9.527500472427300024e-06 3.638226664988390553e+02
9.660174799522645609e-06 3.781426366078728734e+02
9.794696670695385670e-06 3.931231522256223343e+02
9.931091813749799848e-06 4.087971894368709513e+02
1.006938631476027116e-05 4.251994254396225301e+02
1.020960662306047607e-05 4.423663246373313882e+02
1.035177955630176194e-05 4.603362286023298111e+02
1.049593230558226690e-05 4.791494500832951076e+02
1.064209244064724650e-05 4.988483710902355028e+02
1.079028791516183681e-05 5.194775452089311329e+02
1.094054707205743495e-05 5.410838042622983721e+02
1.109289864895222712e-05 5.637163693093892789e+02
1.124737178364750747e-05 5.874269661791607859e+02
